"id","category","organization","route","fit","status","next_action","deadline","owner","contact","source","last_verified","send_gate","notes"
"OPP-001","coaching","startsocial","2026/27 Beratungsstipendium","very-high","MO_APPROVAL","Application drafted to signature-ready in funding/STARTSOCIAL-2026-APPLICATION-DRAFT.md; Mo fills [MO: ...] fields, creates account, and submits","2026-07-15","Mo + Codex","info@startsocial.de","https://startsocial.de/foerderung/bewerbung","2026-07-12","Mo submits declarations","Independently re-verified 2026-07-12: deadline is a real extension from an original 10 Jul date (zero slack after 15 Jul); no legal form required, confirmed via direct quote; volunteer model must stay honest (no active community yet)"
"OPP-002","gateway","TU Clausthal Gründungsservice","advisory meeting","very-high","RESEARCHED","Draft nonprofit-vs-startup eligibility email","rolling","Codex draft / Mo approve","gruendungsservice@tu-clausthal.de","https://www.gruendung.tu-clausthal.de/en/startup-advisory-service","2026-07-12","Mo approves email","Ask about partner holder plus NBank and EXIST conflicts"
"PAR-001","pilot-partner","Visions for Children e.V.","fit conversation","very-high","RESEARCHED","Tailor 30-minute discovery request","rolling","Codex draft / Mo approve","website contact","https://www.visions4children.org/en/about-us-2/","2026-07-12","Mo approves email","Ask for critique and pilot pathway; do not ask for money first"
"PAR-002","pilot-partner","Afghanistan-Schulen e.V.","curriculum and field review","high","RESEARCHED","Tailor review request","rolling","Codex draft / Mo approve","Flader@Afghanistan-Schulen.de","https://afghanistan-schulen.de/info-in-english/","2026-07-12","Mo approves email","Position as supplementary tool, not replacement"
"PAR-003","technical-partner","Learning Equality / Kolibri","architecture and interoperability discussion","high","RESEARCHED","Prepare comparison and integration questions","rolling","Codex draft / Mo approve","website contact","https://learningequality.org/kolibri/about-kolibri/","2026-07-12","Mo approves email","Determine standalone vs Kolibri channel vs hybrid"
"OPP-003","microgrant","DSEE","Mikroförderprogramm","high-through-partner","PARTNER_REQUIRED","Find eligible rural nonprofit/public partner and define volunteer workshop","rolling-2026","Partner","hallo@d-s-e-e.de","https://www.deutsche-stiftung-engagement-und-ehrenamt.de/mikrofoerderprogramm/","2026-07-12","Eligible legal applicant","Up to EUR 1500; 90 percent; project starts about six weeks after application"
"OPP-004","regional-sponsor","Sparkasse Hildesheim Goslar Peine","Heimatherzen","medium-high-through-partner","PARTNER_REQUIRED","Ask TUC/local nonprofit about grant-holder role","rolling","Partner","portal","https://www.heimatherzen.de/nutzungsbedingungen/","2026-07-12","Tax-recognized applicant and 20 percent own contribution","Must demonstrate effect in Sparkasse region"
"OPP-005","crowdfunding","GitHub Sponsors","personal OSS sponsorship","medium","LEGAL_GATE","Prepare profile and tiers after demo/release","rolling","Mo","GitHub Sponsors","https://docs.github.com/en/sponsors/receiving-sponsorships-through-github-sponsors/setting-up-github-sponsors-for-your-personal-account","2026-07-12","Residence/employer/tax/KYC clear","Likely small until audience and public evidence improve"
"OPP-006","eu-grant","Erasmus+","Small-scale Partnership","high-later","PARTNER_REQUIRED","Build two-country education consortium for next call","watch-2026-10-01-or-2027","Partner consortium","German National Agency","https://erasmus-plus.ec.europa.eu/programme-guide/part-b/key-action-2/small-scale-partnerships","2026-07-12","Applicant organization plus second-country partner","EUR 30000 or EUR 60000; additional October round not guaranteed"
"OPP-007","startup-grant","NBank","Niedersachsen Gründungsstipendium","conditional","LEGAL_GATE","Ask TUC service for formal screening","rolling","Mo + TUC","beratung@nbank.de","https://www.nbank.de/F%C3%B6rderprogramme/Aktuelle-F%C3%B6rderprogramme/Gr%C3%BCndungsstipendium.html","2026-07-12","Mo chooses startup track and employment constraints resolved","Generally incompatible with more than 10 hours weekly other work"
